CUSEC;PROV;DIST;SECC_CEN;C's;GF;IUCM-LV;P.P.;P.S.O.E.;UPyD;VOX;%C's;%GF;%IUCM-LV;%P.P.;%P.S.O.E.;%UPyD;%VOX
2805804015;28;4;15;168;149;65;147;466;19;7;16.454;14.594;6.366;14.398;45.642;1.861;0.686
2805804016;28;4;16;116;94;32;117;260;12;4;18.268;14.803;5.039;18.425;40.945;1.89;0.63
2805805001;28;5;1;181;153;73;204;590;28;9;14.62;12.359;5.897;16.478;47.658;2.262;0.727
2805807005;28;7;5;75;95;49;94;256;12;1;12.887;16.323;8.419;16.151;43.986;2.062;0.172
2805807006;28;7;6;109;119;57;136;345;25;7;13.659;14.912;7.143;17.043;43.233;3.133;0.877
2805807007;28;7;7;155;107;27;277;266;23;6;18.002;12.427;3.136;32.172;30.894;2.671;0.697
2805807008;28;7;8;77;87;38;81;223;11;3;14.808;16.731;7.308;15.577;42.885;2.115;0.577
2805807009;28;7;9;63;76;36;80;216;9;8;12.91;15.574;7.377;16.393;44.262;1.844;1.639
2805807010;28;7;10;65;75;29;80;225;12;3;13.292;15.337;5.93;16.36;46.012;2.454;0.613
2805809007;28;9;7;113;109;50;132;355;21;7;14.358;13.85;6.353;16.773;45.108;2.668;0.889
2805809008;28;9;8;182;136;59;133;495;27;10;17.466;13.052;5.662;12.764;47.505;2.591;0.96
2805809009;28;9;9;164;145;55;121;456;29;17;16.616;14.691;5.572;12.259;46.201;2.938;1.722
2805809010;28;9;10;113;145;68;115;461;18;6;12.203;15.659;7.343;12.419;49.784;1.944;0.648
2805809011;28;9;11;143;124;46;122;496;18;6;14.974;12.984;4.817;12.775;51.937;1.885;0.628
2805809012;28;9;12;148;150;67;137;437;23;11;15.211;15.416;6.886;14.08;44.913;2.364;1.131
2805805002;28;5;2;111;154;86;116;549;21;7;10.632;14.751;8.238;11.111;52.586;2.011;0.67
2805805003;28;5;3;73;96;31;73;308;12;8;12.146;15.973;5.158;12.146;51.248;1.997;1.331
2805805004;28;5;4;83;99;30;110;251;25;7;13.719;16.364;4.959;18.182;41.488;4.132;1.157
2805805005;28;5;5;93;91;37;139;306;19;6;13.459;13.169;5.355;20.116;44.284;2.75;0.868
2805805006;28;5;6;109;165;33;182;507;23;12;10.572;16.004;3.201;17.653;49.176;2.231;1.164
2805807011;28;7;11;58;104;52;155;274;16;5;8.735;15.663;7.831;23.343;41.265;2.41;0.753
2805807012;28;7;12;76;65;41;108;195;10;4;15.23;13.026;8.216;21.643;39.078;2.004;0.802
2805807013;28;7;13;50;77;34;80;266;18;3;9.47;14.583;6.439;15.152;50.379;3.409;0.568
