CUSEC;PROV;DIST;SECC_CEN;3VIA ó 3VIA;C's;GANEMOS;GMOST;IUCM-LV;P-LIB;P.P.;P.S.O.E.;PCAS-TC-PAC;SOMOS;UPyD;%3VIA ó 3VIA;%C's;%GANEMOS;%GMOST;%IUCM-LV;%P-LIB;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%SOMOS;%UPyD
2809204032;28;4;32;12;0;51;213;58;3;287;217;2;10;44;1.338;0.0;5.686;23.746;6.466;0.334;31.996;24.192;0.223;1.115;4.905
2809204033;28;4;33;14;0;50;110;30;1;237;162;1;4;17;2.236;0.0;7.987;17.572;4.792;0.16;37.859;25.879;0.16;0.639;2.716
2809204034;28;4;34;26;0;45;192;63;4;289;200;1;14;47;2.951;0.0;5.108;21.793;7.151;0.454;32.804;22.701;0.114;1.589;5.335
2809204035;28;4;35;46;0;59;194;61;0;415;212;4;15;62;4.307;0.0;5.524;18.165;5.712;0.0;38.858;19.85;0.375;1.404;5.805
2809204036;28;4;36;35;0;51;131;55;2;363;203;0;9;50;3.893;0.0;5.673;14.572;6.118;0.222;40.378;22.581;0.0;1.001;5.562
2809204037;28;4;37;33;0;65;220;75;1;408;241;3;12;62;2.946;0.0;5.804;19.643;6.696;0.089;36.429;21.518;0.268;1.071;5.536
2809204038;28;4;38;12;0;19;112;25;2;183;138;0;8;29;2.273;0.0;3.598;21.212;4.735;0.379;34.659;26.136;0.0;1.515;5.492
2809202013;28;2;13;12;0;33;107;26;4;232;153;0;9;27;1.99;0.0;5.473;17.745;4.312;0.663;38.474;25.373;0.0;1.493;4.478
2809202014;28;2;14;5;0;31;117;39;1;248;181;1;1;22;0.774;0.0;4.799;18.111;6.037;0.155;38.39;28.019;0.155;0.155;3.406
2809202015;28;2;15;8;0;37;109;30;0;239;133;1;3;30;1.356;0.0;6.271;18.475;5.085;0.0;40.508;22.542;0.169;0.508;5.085
2809202016;28;2;16;13;0;23;133;32;2;331;171;0;7;43;1.722;0.0;3.046;17.616;4.238;0.265;43.841;22.649;0.0;0.927;5.695
2809202017;28;2;17;25;0;42;253;69;3;429;224;2;3;52;2.269;0.0;3.811;22.958;6.261;0.272;38.929;20.327;0.181;0.272;4.719
2809202018;28;2;18;16;0;25;107;39;1;177;143;0;7;18;3.002;0.0;4.69;20.075;7.317;0.188;33.208;26.829;0.0;1.313;3.377
2809203021;28;3;21;13;0;17;96;32;0;256;114;0;4;12;2.39;0.0;3.125;17.647;5.882;0.0;47.059;20.956;0.0;0.735;2.206
2809201001;28;1;1;20;0;42;128;48;0;283;200;1;5;13;2.703;0.0;5.676;17.297;6.486;0.0;38.243;27.027;0.135;0.676;1.757
2809201002;28;1;2;17;0;36;88;29;1;221;154;7;6;35;2.862;0.0;6.061;14.815;4.882;0.168;37.205;25.926;1.178;1.01;5.892
2809201003;28;1;3;14;0;24;93;28;0;270;129;0;5;18;2.41;0.0;4.131;16.007;4.819;0.0;46.472;22.203;0.0;0.861;3.098
2809201004;28;1;4;10;0;19;74;14;1;170;115;2;5;14;2.358;0.0;4.481;17.453;3.302;0.236;40.094;27.123;0.472;1.179;3.302
2809201005;28;1;5;7;0;31;89;36;0;171;141;3;5;18;1.397;0.0;6.188;17.764;7.186;0.0;34.132;28.144;0.599;0.998;3.593
2809201006;28;1;6;7;0;25;92;30;0;178;127;1;5;12;1.468;0.0;5.241;19.287;6.289;0.0;37.317;26.625;0.21;1.048;2.516
2809201007;28;1;7;15;0;26;81;31;2;163;151;1;9;11;3.061;0.0;5.306;16.531;6.327;0.408;33.265;30.816;0.204;1.837;2.245
2809203022;28;3;22;14;0;29;141;45;3;163;168;1;5;17;2.389;0.0;4.949;24.061;7.679;0.512;27.816;28.669;0.171;0.853;2.901
2809203023;28;3;23;12;0;53;135;44;2;166;140;0;4;19;2.087;0.0;9.217;23.478;7.652;0.348;28.87;24.348;0.0;0.696;3.304
2809203024;28;3;24;13;0;29;101;27;0;259;151;1;3;25;2.135;0.0;4.762;16.585;4.433;0.0;42.529;24.795;0.164;0.493;4.105
2809203025;28;3;25;5;0;13;99;30;1;271;110;0;1;12;0.923;0.0;2.399;18.266;5.535;0.185;50.0;20.295;0.0;0.185;2.214
2809203026;28;3;26;14;0;59;246;73;2;307;189;1;11;55;1.463;0.0;6.165;25.705;7.628;0.209;32.079;19.749;0.104;1.149;5.747
2809203027;28;3;27;13;0;12;60;37;0;160;81;0;7;15;3.377;0.0;3.117;15.584;9.61;0.0;41.558;21.039;0.0;1.818;3.896
2809203028;28;3;28;37;0;68;276;74;2;397;277;1;18;66;3.043;0.0;5.592;22.697;6.086;0.164;32.648;22.78;0.082;1.48;5.428
2809204017;28;4;17;12;0;29;188;52;3;279;215;2;3;29;1.478;0.0;3.571;23.153;6.404;0.369;34.36;26.478;0.246;0.369;3.571
2809204018;28;4;18;49;0;44;303;95;0;468;302;2;18;80;3.6;0.0;3.233;22.263;6.98;0.0;34.386;22.19;0.147;1.323;5.878
2809204019;28;4;19;17;0;53;148;39;0;270;217;4;10;27;2.166;0.0;6.752;18.854;4.968;0.0;34.395;27.643;0.51;1.274;3.439
2809204020;28;4;20;18;0;36;123;29;1;173;154;0;4;37;3.13;0.0;6.261;21.391;5.043;0.174;30.087;26.783;0.0;0.696;6.435
2809201008;28;1;8;17;0;37;163;53;2;271;212;1;8;37;2.122;0.0;4.619;20.35;6.617;0.25;33.833;26.467;0.125;0.999;4.619
2809204039;28;4;39;56;0;63;440;93;6;364;197;3;18;69;4.278;0.0;4.813;33.613;7.105;0.458;27.807;15.05;0.229;1.375;5.271
2809204040;28;4;40;21;0;60;299;80;3;346;229;2;7;86;1.853;0.0;5.296;26.39;7.061;0.265;30.538;20.212;0.177;0.618;7.59
2809204041;28;4;41;17;0;71;337;104;5;358;222;6;9;84;1.401;0.0;5.853;27.782;8.574;0.412;29.514;18.302;0.495;0.742;6.925
2809204042;28;4;42;18;0;36;189;33;3;166;130;0;5;31;2.946;0.0;5.892;30.933;5.401;0.491;27.169;21.277;0.0;0.818;5.074
2809203029;28;3;29;9;0;24;103;28;2;244;96;3;1;15;1.714;0.0;4.571;19.619;5.333;0.381;46.476;18.286;0.571;0.19;2.857
2809203030;28;3;30;12;0;37;179;57;7;300;217;1;6;31;1.417;0.0;4.368;21.133;6.73;0.826;35.419;25.62;0.118;0.708;3.66
2809204021;28;4;21;7;0;38;112;27;1;167;118;1;4;24;1.403;0.0;7.615;22.445;5.411;0.2;33.467;23.647;0.2;0.802;4.81
2809204022;28;4;22;10;0;41;128;29;1;149;89;2;3;20;2.119;0.0;8.686;27.119;6.144;0.212;31.568;18.856;0.424;0.636;4.237
2809204023;28;4;23;12;0;35;84;37;2;164;145;0;11;12;2.39;0.0;6.972;16.733;7.371;0.398;32.669;28.884;0.0;2.191;2.39
