TIPO_ELECCION;AÑO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
4;2015;5;334;TRABUCO SI;AGRUPACION DE ELECTORES TRABUCO SOLUCION INDEPENDI;334;334;334
4;2015;5;335;UPA;AGRUPACIÓN DE ELECTORES UNIDOS POR ALMADÉN;335;335;335
4;2015;5;336;A.E.U.C.;AGRUPACION DE ELECTORES UNIDOS POR EL CAMBIO;336;336;336
4;2015;5;337;UPM;"AGRUPACION DE ELECTORES ""UNIDOS POR MONTAMARTA""";337;337;337
4;2015;5;338;USC;AGRUPACION DE ELECTORES UNIDOS POR SANTA COLOMBA;338;338;338
4;2015;5;339;UNP;AGRUPACION DE ELECTORES UNION NUEVA PATERNA;339;339;339
4;2015;5;340;U.P;AGRUPACION DE ELECTORES UNION POR PENAGOS;340;340;340
4;2015;5;342;VAMOS;AGRUPACION DE ELECTORES VAMOS UNION CIUDADANA;342;342;342
4;2015;5;343;veciñanza;AGRUPACION DE ELECTORES VECIÑANZA;343;343;343
4;2015;5;344;VECINOS;AGRUPACION DE ELECTORES VECINOS;344;344;344
4;2015;5;345;AEVE;AGRUPACION DE ELECTORES VECINOS DE ESCACENA;345;345;345
4;2015;5;346;VM;AGRUPACIÓN DE ELECTORES VECINOS DE MENA;346;346;346
4;2015;5;347;VSB;AGRUPACION DE ELECTORES VECINOS DE SAN BARTOLOME;347;347;347
4;2015;5;348;A.V.I.;Agrupación de Electores Vecinos Implicados;348;348;348
4;2015;5;349;VIP;Agrupación de Electores Vecinos Independientes por;349;349;349
4;2015;5;350;VECINOS;AGRUPACIÓN DE ELECTORES VECINOS POR ARGAMASILLA;350;350;350
4;2015;5;351;AGRUPACIÓN;AGRUPACIÓN DE ELECTORES VECINOS POR BULLAS;351;351;351
4;2015;5;352;VC;AGRUPACION DE ELECTORES VECINOS POR CARRANQUE;352;352;352
4;2015;5;353;AEVEA;AGRUPACION DE ELECTORES VECINOS POR EL ATAZAR;353;353;353
4;2015;5;354;VxV;AGRUPACION DE ELECTORES VECINOS POR EL VALLE;354;354;354
4;2015;5;355;VpM;Agrupación de Electores VECINOS POR MACOTERA;355;355;355
4;2015;5;356;VPT;AGRUPACION DE ELECTORES VECINOS POR TRASPINEDO;356;356;356
4;2015;5;357;VECIÑ@S;AGRUPACIÓN DE ELECTORES VECIÑ@S DE BOQUEIXÓN;357;357;357
4;2015;5;358;VXV;AGRUPACION DE ELECTORES VEÏNS PER VINALESA;358;358;358
4;2015;5;359;AGRUPACION;AGRUPACION DE ELECTORES VELILLA;359;359;359
4;2015;5;360;VJP;AGRUPACION DE ELECTORES VILAMARXANT JUNTS PODREM;360;360;360
4;2015;5;361;VSEC;"AGRUPACIÓN DE ELECTORES ""VILA-SECA EN COMÚ""";361;361;361
4;2015;5;362;VILLA DE CO;AGRUPACION DE ELECTORES VILLA DE COCA;362;362;362
4;2015;5;363;V.C.I;AGRUPACION DE ELECTORES VILLAMENA CANDIDATURA INDE;363;363;363
