TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
04;2015;05;114179;PSdeG-PSOE;PARTIDO DOS SOCIALISAS DE GALICIA-PARTIDO SOCIALIS;004201;004201;004319
04;2015;05;114180;PSdeG-PSOE;PARTIDO DOS SOCIALISTA de GALICIA-PSOE;004201;004201;004319
04;2015;05;114181;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA;004201;004201;004319
04;2015;05;114182;PSdeG-PSOE;Partido dos Socialistas de Galicia-Partido Sociali;004201;004201;004319
04;2015;05;114183;PSdeG - PSO;PARTIDO DOS SOCIALISTAS DE GALICIA - PARTIDO SOCIA;004201;004201;004319
04;2015;05;114184;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA - PARTIDO SOCIA;004201;004201;004319
04;2015;05;114185;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA -PARTIDO SOCIAL;004201;004201;004319
04;2015;05;114186;PSdeG-PSOE.;PARTIDO DOS SOCIALISTAS DE GALICIA -PARTIDO SOCIAL;004201;004201;004319
04;2015;05;114187;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA- PARTIDO SOCIAL;004201;004201;004319
04;2015;05;114188;PSdeG - PSO;PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALI;004201;004201;004319
04;2015;05;114189;PSdeG-P.S.O;PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALI;004201;004201;004319
04;2015;05;114190;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALI;004201;004201;004319
04;2015;05;114191;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALI;004201;004201;004319
04;2015;05;114192;P.S.O.E.;PARTIDO DOS SOCIALISTAS DE GALICIA - PSde G-PSOE;004201;004201;004319
04;2015;05;114193;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS de GALICIA - PSOE;004201;004201;004319
04;2015;05;114194;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS de GALICIA- PSOE;004201;004201;004319
04;2015;05;114195;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS de GALICIA-PSOE;004201;004201;004319
